player_id,name,position,bench_reps,broad_jump,cone,shuttle,forty_yd,vertical,draft_pick,draft_round,weight,height,dk_score,10_yd,position_label
CameJo00,Jordan Cameron,TE,23.0,119.0,6.82,4.03,4.53,37.5,102.0,4.0,254,77.0,9.3,UNK,3
CampKe00,Kelly Campbell,WR,0.0,0.0,0.0,0.0,4.48,0.0,0.0,0.0,171,70.0,49.7,UNK,5
CampMi02,Michael Campanaro,WR,20.0,122.0,6.77,4.01,4.46,39.0,218.0,7.0,192,69.0,23.2,UNK,5
CaniTr00,Trung Canidate,RB,18.0,0.0,0.0,0.0,4.41,0.0,31.0,1.0,193,71.0,2.0,UNK,2
CareKa00,Ka'Deem Carey,RB,19.0,115.0,7.08,4.38,4.69,32.5,117.0,4.0,207,69.0,26.500000000000004,UNK,2
CarlJo00,John Carlson,TE,20.0,113.0,7.12,4.28,4.88,30.5,38.0,2.0,251,77.0,150.7,UNK,3
CarrDa00,David Carr,QB,0.0,108.0,7.05,4.28,4.67,35.0,1.0,1.0,223,75.0,170.88,UNK,1
CarrDe02,Derek Carr,QB,0.0,110.0,0.0,4.2,4.69,34.5,36.0,2.0,214,74.0,214.99999999999997,UNK,1
CarrLe00,Leonte Carroo,WR,14.0,120.0,0.0,0.0,4.5,35.5,86.0,3.0,211,72.0,11.9,UNK,5
CartDe01,Delone Carter,RB,27.0,120.0,6.92,4.07,4.54,37.0,119.0,4.0,222,69.0,56.5,UNK,2
CartJa00,Jason Carter,WR,0.0,116.0,6.89,4.21,4.6,33.0,0.0,0.0,211,72.0,0.0,UNK,5
CartKe01,Kerry Carter,RB,20.0,118.0,7.29,4.39,4.61,36.0,0.0,0.0,238,74.0,-0.2,UNK,2
CartQu00,Quincy Carter,QB,0.0,113.0,7.12,4.12,4.58,35.5,53.0,2.0,225,74.0,76.88,UNK,1
CartTi00,Tim Carter,WR,0.0,126.0,6.68,3.93,4.32,39.0,46.0,2.0,190,72.0,8.5,UNK,5
CaseJa00,James Casey,TE,28.0,111.0,7.0,4.48,4.69,36.0,152.0,5.0,246,75.0,12.400000000000002,UNK,3
CaviKw00,Kwame Cavil,WR,0.0,118.0,0.0,0.0,4.54,39.5,0.0,0.0,208,74.0,10.600000000000001,UNK,5
ChamCh00,Chris Chambers,WR,0.0,134.0,0.0,4.0,4.33,45.0,52.0,2.0,210,72.0,186.20000000000002,UNK,5
ChanSc00,Scott Chandler,TE,16.0,111.0,7.26,4.32,4.78,30.0,129.0,4.0,270,79.0,0.0,UNK,3
ChapSh00,Shaun Chapas,RB,23.0,116.0,7.13,4.4,4.87,35.5,220.0,7.0,247,74.0,1.9,UNK,2
CharJa00,Jamaal Charles,RB,0.0,122.0,6.8,4.22,4.38,30.5,73.0,3.0,200,71.0,101.90000000000002,UNK,2
CharOr00,Orson Charles,TE,35.0,0.0,0.0,0.0,4.73,0.0,116.0,4.0,251,74.0,18.1,UNK,3
ChoiTa00,Tashard Choice,RB,20.0,119.0,6.88,0.0,4.48,34.0,122.0,4.0,215,70.0,98.7,UNK,2
ClarDa00,Dallas Clark,TE,0.0,123.0,0.0,0.0,4.65,37.5,24.0,1.0,257,75.0,72.0,UNK,3
ClauJi00,Jimmy Clausen,QB,0.0,0.0,0.0,0.0,4.76,0.0,48.0,2.0,222,75.0,71.02000000000001,UNK,1
ClayCh00,Charles Clay,TE,18.0,118.0,7.07,4.15,4.69,33.5,174.0,6.0,245,75.0,57.3,UNK,3
ClayJo00,John Clay,RB,0.0,111.0,0.0,0.0,4.83,29.0,0.0,0.0,230,72.0,10.1,UNK,2
ClayKa00,Kaelin Clay,WR,10.0,113.0,6.97,4.26,4.51,33.0,184.0,6.0,195,70.0,6.0,UNK,5
ClayMa01,Mark Clayton,WR,0.0,118.0,6.95,4.07,4.41,36.5,22.0,1.0,193,70.0,115.39999999999999,UNK,5
ClayMi00,Michael Clayton,WR,0.0,116.0,6.77,4.09,4.67,32.5,15.0,1.0,209,75.0,250.29999999999998,UNK,5
ClemKe00,Kellen Clemens,QB,0.0,0.0,0.0,0.0,4.89,0.0,49.0,2.0,224,74.0,1.0,UNK,1
