position,name,club_team,group,international_team
Goalkeeper,Matěj Kovář,PSV Eindhoven,A,Czech Republic
Defender,David Zima,Slavia Prague,A,Czech Republic
Defender,Tomáš Holeš,Slavia Prague,A,Czech Republic
Defender,Robin Hranáč,TSG Hoffenheim,A,Czech Republic
Defender,Vladimír Coufal,TSG Hoffenheim,A,Czech Republic
Defender,Štěpán Chaloupek,Slavia Prague,A,Czech Republic
Defender,Ladislav Krejčí,Wolverhampton Wanderers,A,Czech Republic
Midfielder,Vladimír Darida,Hradec Králové,A,Czech Republic
Forward,Adam Hložek,TSG Hoffenheim,A,Czech Republic
Forward,Patrik Schick,Bayer Leverkusen,A,Czech Republic
Forward,Jan Kuchta,Sparta Prague,A,Czech Republic
Midfielder,Lukáš Červ,Viktoria Plzeň,A,Czech Republic
Forward,Mojmír Chytil,Slavia Prague,A,Czech Republic
Defender,David Jurásek,Slavia Prague,A,Czech Republic
Forward,Pavel Šulc,Lyon,A,Czech Republic
Goalkeeper,Jindřich Staněk,Slavia Prague,A,Czech Republic
Midfielder,Lukáš Provod,Slavia Prague,A,Czech Republic
Midfielder,Michal Sadílek,Slavia Prague,A,Czech Republic
Forward,Tomáš Chorý,Slavia Prague,A,Czech Republic
Defender,Jaroslav Zelený,Sparta Prague,A,Czech Republic
Defender,David Douděra,Slavia Prague,A,Czech Republic
Midfielder,Tomáš Souček,West Ham United,A,Czech Republic
Goalkeeper,Lukáš Horníček,Braga,A,Czech Republic
Midfielder,Alexandr Sojka,Viktoria Plzeň,A,Czech Republic
Midfielder,Hugo Sochůrek,Sparta Prague,A,Czech Republic
Forward,Denis Višinský,Viktoria Plzeň,A,Czech Republic
Goalkeeper,Raúl Rangel,Guadalajara,A,Mexico
Defender,Jorge Sánchez,PAOK,A,Mexico
Defender,César Montes,Lokomotiv Moscow,A,Mexico
Defender,Edson Álvarez,Fenerbahçe,A,Mexico
Defender,Johan Vásquez,Genoa,A,Mexico
Midfielder,Érik Lira,Cruz Azul,A,Mexico
Midfielder,Luis Romo,Guadalajara,A,Mexico
Midfielder,Álvaro Fidalgo,Real Betis,A,Mexico
Forward,Raúl Jiménez,Fulham,A,Mexico
Forward,Alexis Vega,Toluca,A,Mexico
Forward,Santiago Giménez,Milan,A,Mexico
Goalkeeper,Carlos Acevedo,Santos Laguna,A,Mexico
Goalkeeper,Guillermo Ochoa,AEL Limassol,A,Mexico
Forward,Armando González,Guadalajara,A,Mexico
Defender,Israel Reyes,América,A,Mexico
Forward,Julián Quiñones,Al-Qadsiah,A,Mexico
Midfielder,Orbelín Pineda,AEK Athens,A,Mexico
Midfielder,Obed Vargas,Atlético Madrid,A,Mexico
Midfielder,Gilberto Mora,Tijuana,A,Mexico
Defender,Mateo Chávez,AZ,A,Mexico
Forward,César Huerta,Anderlecht,A,Mexico
Forward,Guillermo Martínez,Pumas UNAM,A,Mexico
Defender,Jesús Gallardo,Toluca,A,Mexico
Midfielder,Luis Chávez,Dynamo Moscow,A,Mexico
Forward,Roberto Alvarado,Guadalajara,A,Mexico
Midfielder,Brian Gutiérrez,Guadalajara,A,Mexico
Goalkeeper,Ronwen Williams,Mamelodi Sundowns,A,South Africa
Defender,Thabang Matuludi,Polokwane City,A,South Africa
Defender,Khulumani Ndamane,Mamelodi Sundowns,A,South Africa
Midfielder,Teboho Mokoena,Mamelodi Sundowns,A,South Africa
Midfielder,Thalente Mbatha,Orlando Pirates,A,South Africa
Defender,Aubrey Modiba,Mamelodi Sundowns,A,South Africa
Forward,Oswin Appollis,Orlando Pirates,A,South Africa
Forward,Tshepang Moremi,Orlando Pirates,A,South Africa
Forward,Lyle Foster,Burnley,A,South Africa
Forward,Relebohile Mofokeng,Orlando Pirates,A,South Africa
Midfielder,Themba Zwane,Mamelodi Sundowns,A,South Africa
Forward,Thapelo Maseko,AEL Limassol,A,South Africa
Midfielder,Sphephelo Sithole,Tondela,A,South Africa
Defender,Mbekezeli Mbokazi,Chicago Fire FC,A,South Africa
Forward,Iqraam Rayners,Mamelodi Sundowns,A,South Africa
Goalkeeper,Sipho Chaine,Orlando Pirates,A,South Africa
Forward,Evidence Makgopa,Orlando Pirates,A,South Africa
Defender,Samukele Kabini,Molde,A,South Africa
Defender,Nkosinathi Sibisi,Orlando Pirates,A,South Africa
Defender,Khuliso Mudau,Mamelodi Sundowns,A,South Africa
Defender,Ime Okon,Hannover 96,A,South Africa
Goalkeeper,Ricardo Goss,Siwelele,A,South Africa
Midfielder,Jayden Adams,Mamelodi Sundowns,A,South Africa
Defender,Olwethu Makhanya,Philadelphia Union,A,South Africa
Forward,Kamogelo Sebelebele,Orlando Pirates,A,South Africa
Defender,Bradley Cross,Kaizer Chiefs,A,South Africa
Goalkeeper,Kim Seung-gyu,FC Tokyo,A,South Korea
Defender,Lee Han-beom,Midtjylland,A,South Korea
Midfielder,Lee Gi-hyuk,Gangwon FC,A,South Korea
Defender,Kim Min-jae,Bayern Munich,A,South Korea
Defender,Kim Tae-hyeon,Kashima Antlers,A,South Korea
Midfielder,Hwang In-beom,Feyenoord,A,South Korea
Forward,Son Heung-min,Los Angeles FC,A,South Korea
Midfielder,Paik Seung-ho,Birmingham City,A,South Korea
Forward,Cho Gue-sung,Midtjylland,A,South Korea
Midfielder,Lee Jae-sung,Mainz 05,A,South Korea
Midfielder,Hwang Hee-chan,Wolverhampton Wanderers,A,South Korea
Goalkeeper,Song Bum-keun,Jeonbuk Hyundai Motors,A,South Korea
Defender,Lee Tae-seok,Austria Wien,A,South Korea
Defender,Cho Wi-je,Jeonbuk Hyundai Motors,A,South Korea
Defender,Kim Moon-hwan,Daejeon Hana Citizen,A,South Korea
Defender,Park Jin-seob,Zhejiang,A,South Korea
Midfielder,Bae Jun-ho,Stoke City,A,South Korea
Forward,Oh Hyeon-gyu,Beşiktaş,A,South Korea
Midfielder,Lee Kang-in,Paris Saint-Germain,A,South Korea
Midfielder,Yang Hyun-jun,Celtic,A,South Korea
Goalkeeper,Jo Hyeon-woo,Ulsan HD,A,South Korea
Defender,Seol Young-woo,Red Star Belgrade,A,South Korea
Defender,Jens Castrop,Borussia Mönchengladbach,A,South Korea
Midfielder,Kim Jin-gyu,Jeonbuk Hyundai Motors,A,South Korea
Midfielder,Eom Ji-sung,Swansea City,A,South Korea
Midfielder,Lee Dong-gyeong,Ulsan HD,A,South Korea
Goalkeeper,Nikola Vasilj,FC St. Pauli,B,Bosnia and Herzegovina
Defender,Nihad Mujakić,Gaziantep,B,Bosnia and Herzegovina
Defender,Dennis Hadžikadunić,Sampdoria,B,Bosnia and Herzegovina
Defender,Tarik Muharemović,Sassuolo,B,Bosnia and Herzegovina
Defender,Sead Kolašinac,Atalanta,B,Bosnia and Herzegovina
Midfielder,Benjamin Tahirović,Brøndby,B,Bosnia and Herzegovina
Defender,Amar Dedić,Benfica,B,Bosnia and Herzegovina
Midfielder,Armin Gigović,Young Boys,B,Bosnia and Herzegovina
Forward,Samed Baždar,Jagiellonia Białystok,B,Bosnia and Herzegovina
Forward,Ermedin Demirović,VfB Stuttgart,B,Bosnia and Herzegovina
Forward,Edin Džeko,Schalke 04,B,Bosnia and Herzegovina
Goalkeeper,Mladen Jurkas,Borac Banja Luka,B,Bosnia and Herzegovina
Midfielder,Ivan Bašić,Astana,B,Bosnia and Herzegovina
Midfielder,Ivan Šunjić,Pafos,B,Bosnia and Herzegovina
Midfielder,Amar Memić,Viktoria Plzeň,B,Bosnia and Herzegovina
Midfielder,Amir Hadžiahmetović,Hull City,B,Bosnia and Herzegovina
Midfielder,Dženis Burnić,Karlsruher SC,B,Bosnia and Herzegovina
Defender,Nikola Katić,Schalke 04,B,Bosnia and Herzegovina
Forward,Kerim Alajbegović,Red Bull Salzburg,B,Bosnia and Herzegovina
Forward,Esmir Bajraktarević,PSV Eindhoven,B,Bosnia and Herzegovina
Defender,Stjepan Radeljić,Rijeka,B,Bosnia and Herzegovina
Goalkeeper,Martin Zlomislić,Rijeka,B,Bosnia and Herzegovina
Forward,Haris Tabaković,Borussia Mönchengladbach,B,Bosnia and Herzegovina
Defender,Arjan Malić,Sturm Graz,B,Bosnia and Herzegovina
Forward,Jovo Lukić,Universitatea Cluj,B,Bosnia and Herzegovina
Midfielder,Ermin Mahmić,Slovan Liberec,B,Bosnia and Herzegovina
Goalkeeper,Dayne St. Clair,Inter Miami CF,B,Canada
Defender,Alistair Johnston,Celtic,B,Canada
Defender,Alfie Jones,Middlesbrough,B,Canada
Defender,Luc de Fougerolles,Dender,B,Canada
Defender,Joel Waterman,Chicago Fire FC,B,Canada
Midfielder,Mathieu Choinière,Los Angeles FC,B,Canada
Midfielder,Stephen Eustáquio,Los Angeles FC,B,Canada
Midfielder,Ismaël Koné,Sassuolo,B,Canada
Forward,Cyle Larin,Southampton,B,Canada
Forward,Jonathan David,Juventus,B,Canada
Midfielder,Liam Millar,Hull City,B,Canada
Forward,Tani Oluwaseyi,Villarreal,B,Canada
Defender,Derek Cornelius,Rangers,B,Canada
Midfielder,Jacob Shaffelburg,Los Angeles FC,B,Canada
Defender,Moïse Bombito,Nice,B,Canada
Goalkeeper,Maxime Crépeau,Orlando City SC,B,Canada
Forward,Tajon Buchanan,Villarreal,B,Canada
Goalkeeper,Owen Goodman,Barnsley,B,Canada
Defender,Alphonso Davies,Bayern Munich,B,Canada
Forward,Ali Ahmed,Norwich City,B,Canada
Midfielder,Jonathan Osorio,Toronto FC,B,Canada
Defender,Richie Laryea,Toronto FC,B,Canada
Defender,Niko Sigur,Hajduk Split,B,Canada
Forward,Promise David,Union Saint-Gilloise,B,Canada
Midfielder,Nathan Saliba,Anderlecht,B,Canada
Forward,Jayden Nelson,Austin FC,B,Canada
Goalkeeper,Mahmud Abunada,Al-Rayyan,B,Qatar
Defender,Pedro Miguel,Al-Sadd,B,Qatar
Defender,Lucas Mendes,Al-Wakrah,B,Qatar
Defender,Issa Laye,Al-Arabi,B,Qatar
Defender,Jassem Gaber,Al-Rayyan,B,Qatar
Midfielder,Abdulaziz Hatem,Al-Rayyan,B,Qatar
Forward,Ahmed Alaaeldin,Al-Rayyan,B,Qatar
Forward,Edmilson Junior,Al-Duhail,B,Qatar
Forward,Mohammed Muntari,Al-Gharafa,B,Qatar
Forward,Hassan Al-Haydos,Al-Sadd,B,Qatar
Forward,Akram Afif,Al-Sadd,B,Qatar
Midfielder,Karim Boudiaf,Al-Duhail,B,Qatar
Defender,Ayoub Al-Oui,Al-Gharafa,B,Qatar
Defender,Homam Ahmed,Cultural Leonesa,B,Qatar
Forward,Yusuf Abdurisag,Al-Wakrah,B,Qatar
Defender,Boualem Khoukhi,Al-Sadd,B,Qatar
Midfielder,Ahmed Al-Ganehi,Al-Gharafa,B,Qatar
Defender,Sultan Al-Brake,Al-Duhail,B,Qatar
Forward,Almoez Ali,Al-Duhail,B,Qatar
Midfielder,Ahmed Fathy,Al-Arabi,B,Qatar
Goalkeeper,Salah Zakaria,Al-Duhail,B,Qatar
Goalkeeper,Meshaal Barsham,Al-Sadd,B,Qatar
Midfielder,Assim Madibo,Al-Wakrah,B,Qatar
Forward,Tahsin Jamshid,Al-Duhail,B,Qatar
Defender,Al-Hashmi Al-Hussain,Al-Arabi,B,Qatar
Forward,Mohamed Manai,Al-Shamal,B,Qatar
Goalkeeper,Gregor Kobel,Borussia Dortmund,B,Switzerland
Defender,Miro Muheim,Hamburger SV,B,Switzerland
Defender,Silvan Widmer,Mainz 05,B,Switzerland
Defender,Nico Elvedi,Borussia Mönchengladbach,B,Switzerland
Defender,Manuel Akanji,Inter Milan,B,Switzerland
Midfielder,Denis Zakaria,Monaco,B,Switzerland
Forward,Breel Embolo,Rennes,B,Switzerland
Midfielder,Remo Freuler,Bologna,B,Switzerland
Midfielder,Johan Manzambi,SC Freiburg,B,Switzerland
Midfielder,Granit Xhaka,Sunderland,B,Switzerland
Forward,Dan Ndoye,Nottingham Forest,B,Switzerland
Goalkeeper,Yvon Mvogo,Lorient,B,Switzerland
Defender,Ricardo Rodriguez,Real Betis,B,Switzerland
Midfielder,Ardon Jashari,Milan,B,Switzerland
Midfielder,Djibril Sow,Sevilla,B,Switzerland
Forward,Christian Fassnacht,Young Boys,B,Switzerland
Forward,Rubén Vargas,Sevilla,B,Switzerland
Defender,Eray Cömert,Valencia,B,Switzerland
Forward,Noah Okafor,Leeds United,B,Switzerland
Midfielder,Michel Aebischer,Pisa,B,Switzerland
Goalkeeper,Marvin Keller,Young Boys,B,Switzerland
Midfielder,Fabian Rieder,FC Augsburg,B,Switzerland
Forward,Zeki Amdouni,Burnley,B,Switzerland
Defender,Aurèle Amenda,Eintracht Frankfurt,B,Switzerland
Defender,Luca Jaquez,VfB Stuttgart,B,Switzerland
Forward,Cedric Itten,Fortuna Düsseldorf,B,Switzerland
Goalkeeper,Alisson,Liverpool,C,Brazil
Midfielder,Éderson Silva,Atalanta,C,Brazil
Defender,Gabriel Magalhães,Arsenal,C,Brazil
Defender,Marquinhos,Paris Saint-Germain,C,Brazil
Midfielder,Casemiro,Manchester United,C,Brazil
Defender,Alex Sandro,Flamengo,C,Brazil
Forward,Vinícius Júnior,Real Madrid,C,Brazil
Midfielder,Bruno Guimarães,Newcastle United,C,Brazil
Forward,Matheus Cunha,Manchester United,C,Brazil
Forward,Neymar,Santos,C,Brazil
Forward,Raphinha,Barcelona,C,Brazil
Goalkeeper,Weverton,Grêmio,C,Brazil
Defender,Danilo Luiz,Flamengo,C,Brazil
Defender,Bremer,Juventus,C,Brazil
Defender,Léo Pereira,Flamengo,C,Brazil
Defender,Douglas Santos,Zenit Saint Petersburg,C,Brazil
Midfielder,Fabinho,Al-Ittihad,C,Brazil
Midfielder,Danilo Santos,Botafogo,C,Brazil
Forward,Endrick,Lyon,C,Brazil
Midfielder,Lucas Paquetá,Flamengo,C,Brazil
Forward,Luiz Henrique,Zenit Saint Petersburg,C,Brazil
Forward,Gabriel Martinelli,Arsenal,C,Brazil
Goalkeeper,Ederson Moraes,Fenerbahçe,C,Brazil
Defender,Roger Ibañez,Al-Ahli,C,Brazil
Forward,Igor Thiago,Brentford,C,Brazil
Forward,Rayan,Bournemouth,C,Brazil
Goalkeeper,Johny Placide,Bastia,C,Haiti
Defender,Carlens Arcus,Angers,C,Haiti
Defender,Keeto Thermoncy,Young Boys,C,Haiti
Defender,Ricardo Adé,LDU Quito,C,Haiti
Defender,Hannes Delcroix,Lugano,C,Haiti
Midfielder,Carl Sainté,El Paso Locomotive FC,C,Haiti
Forward,Derrick Etienne Jr.,Toronto FC,C,Haiti
Defender,Martin Expérience,Nancy,C,Haiti
Forward,Duckens Nazon,Esteghlal,C,Haiti
Midfielder,Jean-Ricner Bellegarde,Wolverhampton Wanderers,C,Haiti
Forward,Louicius Deedson,FC Dallas,C,Haiti
Goalkeeper,Alexandre Pierre,Sochaux,C,Haiti
Defender,Duke Lacroix,Colorado Springs Switchbacks FC,C,Haiti
Defender,Garven Metusala,Colorado Springs Switchbacks FC,C,Haiti
Forward,Ruben Providence,Almere City,C,Haiti
Forward,Lenny Joseph,Ferencváros,C,Haiti
Midfielder,Danley Jean Jacques,Philadelphia Union,C,Haiti
Forward,Wilson Isidor,Sunderland,C,Haiti
Forward,Yassin Fortuné,Vizela,C,Haiti
Forward,Frantzdy Pierrot,Çaykur Rizespor,C,Haiti
Forward,Josué Casimir,Auxerre,C,Haiti
Defender,Jean-Kévin Duverne,Gent,C,Haiti
Goalkeeper,Josué Duverger,Cosmos Koblenz,C,Haiti
Defender,Wilguens Paugain,Zulte Waregem,C,Haiti
Midfielder,Dominique Simon,Tatran Prešov,C,Haiti
Midfielder,Woodensky Pierre,Violette,C,Haiti
Goalkeeper,Yassine Bounou,Al-Hilal,C,Morocco
Defender,Achraf Hakimi,Paris Saint-Germain,C,Morocco
Defender,Noussair Mazraoui,Manchester United,C,Morocco
Midfielder,Sofyan Amrabat,Real Betis,C,Morocco
Defender,Marwane Saâdane,Al-Fateh,C,Morocco
Midfielder,Ayyoub Bouaddi,Lille,C,Morocco
Midfielder,Chemsdine Talbi,Sunderland,C,Morocco
Midfielder,Azzedine Ounahi,Girona,C,Morocco
Forward,Soufiane Rahimi,Al Ain,C,Morocco
Forward,Brahim Díaz,Real Madrid,C,Morocco
Midfielder,Ismael Saibari,PSV Eindhoven,C,Morocco
Goalkeeper,Munir Mohamedi,RS Berkane,C,Morocco
Defender,Zakaria El Ouahdi,Genk,C,Morocco
Defender,Issa Diop,Fulham,C,Morocco
Midfielder,Samir El Mourabet,Strasbourg,C,Morocco
Midfielder,Gessime Yassine,Strasbourg,C,Morocco
Forward,Amine Sbaï,Angers,C,Morocco
Defender,Chadi Riad,Crystal Palace,C,Morocco
Defender,Youssef Belammari,Al Ahly,C,Morocco
Forward,Ayoub El Kaabi,Olympiacos,C,Morocco
Forward,Ayoube Amaimouni,Eintracht Frankfurt,C,Morocco
Goalkeeper,Ahmed Reda Tagnaouti,AS FAR,C,Morocco
Midfielder,Bilal El Khannouss,VfB Stuttgart,C,Morocco
Midfielder,Neil El Aynaoui,Roma,C,Morocco
Defender,Redouane Halhal,Mechelen,C,Morocco
Defender,Anass Salah-Eddine,PSV Eindhoven,C,Morocco
Goalkeeper,Angus Gunn,Nottingham Forest,C,Scotland
Defender,Aaron Hickey,Brentford,C,Scotland
Defender,Andy Robertson,Liverpool,C,Scotland
Midfielder,Scott McTominay,Napoli,C,Scotland
Defender,Grant Hanley,Hibernian,C,Scotland
Defender,Kieran Tierney,Celtic,C,Scotland
Midfielder,John McGinn,Aston Villa,C,Scotland
Midfielder,Tyler Fletcher,Manchester United,C,Scotland
Forward,Lyndon Dykes,Charlton Athletic,C,Scotland
Forward,Ché Adams,Torino,C,Scotland
Midfielder,Ryan Christie,Bournemouth,C,Scotland
Goalkeeper,Liam Kelly,Rangers,C,Scotland
Defender,Jack Hendry,Al-Ettifaq,C,Scotland
Forward,Ross Stewart,Southampton,C,Scotland
Defender,John Souttar,Rangers,C,Scotland
Defender,Dominic Hyam,Wrexham,C,Scotland
Forward,Ben Gannon-Doak,Bournemouth,C,Scotland
Forward,George Hirst,Ipswich Town,C,Scotland
Midfielder,Lewis Ferguson,Bologna,C,Scotland
Forward,Lawrence Shankland,Heart of Midlothian,C,Scotland
Goalkeeper,Craig Gordon,Heart of Midlothian,C,Scotland
Defender,Nathan Patterson,Everton,C,Scotland
