Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
110,797548172,gatortime12 (8/10),0,46.5,RB Joe Mixon TE Tyler Kroft FLEX Travis Rudolph DST Giants  QB Joshua Dobbs WR JuJu Smith-Schuster WR Marcus Tucker RB Matt Breida WR Aldrick Robinson,,Shane Smith,0.68%,1.9
111,797548166,gatortime12 (2/10),0,46.42,RB Joe Mixon WR Alex Erickson TE Tyler Kroft RB Orleans Darkwa FLEX Travis Rudolph DST Giants  QB Matt Barkley WR Aldrick Robinson WR Chris Godwin,,Kyle Juszczyk,0.68%,0
111,797548167,gatortime12 (3/10),0,46.42,RB Joe Mixon WR Alex Erickson TE Tyler Kroft RB Orleans Darkwa WR Travis Rudolph DST Giants  QB Matt Barkley WR Aldrick Robinson FLEX Chris Godwin,,Jerell Adams,0.68%,5.8
113,797502956,canowhoopass (1/6),0,46.4,RB Stanley Williams RB Kareem Hunt DST Chiefs  QB Joshua Dobbs FLEX Terrell Watson WR Aldrick Robinson WR Trent Taylor TE Cole Hikutini WR Chris Godwin,,Andy Dalton,0.68%,0.52
113,797484218,ChiChiWobbler (5/15),0,46.4,RB Joe Mixon WR Alex Erickson FLEX Kareem Hunt TE Ross Travis DST Chiefs  QB Joshua Dobbs RB Terrell Watson WR JuJu Smith-Schuster WR Chris Godwin,,Antony Auclair,0.51%,0
115,797465686,SextonHardcastle (2/10),0,46.36,QB AJ McCarron WR Alex Erickson TE Tyler Kroft RB Orleans Darkwa DST Giants  RB Matt Breida WR Aldrick Robinson FLEX Trent Taylor WR Chris Godwin,,Rhett Ellison,0.51%,5
116,797230000,psufans2 (1/5),0,46.3,RB Joe Mixon WR Alex Erickson TE Tyler Kroft FLEX Kareem Hunt WR Roger Lewis DST Giants  QB Joshua Dobbs RB Terrell Watson WR Chris Godwin,,James Conner,0.51%,0
116,797230001,psufans2 (2/5),0,46.3,RB Joe Mixon WR Alex Erickson TE Tyler Kroft FLEX Kareem Hunt WR Roger Lewis DST Giants  QB Joshua Dobbs RB Terrell Watson WR Chris Godwin,,John Ross,0.51%,0
116,797230002,psufans2 (3/5),0,46.3,RB Joe Mixon WR Alex Erickson TE Tyler Kroft FLEX Kareem Hunt WR Roger Lewis DST Giants  QB Joshua Dobbs RB Terrell Watson WR Chris Godwin,,Alan Cross,0.51%,5
116,797230003,psufans2 (4/5),0,46.3,RB Joe Mixon WR Alex Erickson TE Tyler Kroft FLEX Kareem Hunt WR Roger Lewis DST Giants  QB Joshua Dobbs RB Terrell Watson WR Chris Godwin,,Marcus Kemp,0.51%,6.1
116,797230004,psufans2 (5/5),0,46.3,RB Joe Mixon WR Alex Erickson TE Tyler Kroft FLEX Kareem Hunt WR Roger Lewis DST Giants  QB Joshua Dobbs RB Terrell Watson WR Chris Godwin,,Aaron Burbridge,0.51%,0
116,797463776,Mallen21 (14/15),0,46.3,RB Joe Mixon WR Josh Malone TE Ross Travis DST Chiefs  RB Orleans Darkwa QB Joshua Dobbs WR Canaan Severin FLEX Matt Breida WR Freddie Martino,,Tyler Bray,0.51%,1.52
116,797484221,ChiChiWobbler (8/15),0,46.3,RB Joe Mixon WR Alex Erickson TE Ross Travis DST Chiefs  FLEX Orleans Darkwa QB Joshua Dobbs RB Terrell Watson WR JuJu Smith-Schuster WR Chris Godwin,,Orson Charles,0.51%,3.2
123,797255789,SoulChild (4/15),0,46.2,WR Josh Malone DST Bengals  RB C.J. Spiller WR Roger Lewis TE Evan Engram QB Joshua Dobbs RB Joe Williams FLEX Trent Taylor WR Chris Godwin,,Logan Paulsen,0.51%,0
123,797465694,SextonHardcastle (10/10),0,46.2,WR Alex Erickson RB Wayne Gallman FLEX Travis Rudolph DST Giants  QB Joshua Dobbs RB Matt Breida WR Trent Taylor WR Chris Godwin TE O.J. Howard,,Jake McGee,0.51%,0
125,797386857,KHeezyJr,0,46.16,QB AJ McCarron RB Joe Mixon WR Alex Erickson TE Tyler Kroft DST Chiefs  FLEX Travis Rudolph RB Matt Breida WR Aldrick Robinson WR Chris Godwin,,Levonte Whitfield,0.51%,2.6
125,797509873,hulke,0,46.16,QB AJ McCarron RB Joe Mixon WR Alex Erickson TE Tyler Kroft DST Chiefs  FLEX Travis Rudolph RB Matt Breida WR Aldrick Robinson WR Chris Godwin,,Alex Smith,0.51%,2.92
127,797548173,gatortime12 (9/10),0,46.1,TE Tyler Kroft RB Orleans Darkwa DST Giants  QB Joshua Dobbs FLEX JuJu Smith-Schuster RB Matt Breida WR Aldrick Robinson WR Trent Taylor WR Chris Godwin,,Quayvon Hicks,0.34%,0
128,797484216,ChiChiWobbler (3/15),0,46,RB Joe Mixon WR Alex Erickson FLEX Kareem Hunt WR Seantavius Jones DST Chiefs  QB Joshua Dobbs RB Terrell Watson WR JuJu Smith-Schuster TE Cole Hikutini,,Bart Houston,0.34%,1.16
129,797484222,ChiChiWobbler (9/15),0,45.98,RB Joe Mixon WR Alex Erickson TE Ross Travis FLEX Orleans Darkwa DST Giants  RB Terrell Watson WR Trent Taylor QB Ryan Griffin WR Chris Godwin,,Tim Patrick,0.34%,0
130,797551457,Coltsfan4ever,0,45.96,QB AJ McCarron WR Alex Erickson RB Kareem Hunt WR Travis Rudolph TE Evan Engram DST Giants  RB Matt Breida FLEX Aldrick Robinson WR Chris Godwin,,Phazahn Odom,0.34%,0
131,797221802,AdamLevitan,0,45.8,WR Cody Core TE Tyler Kroft RB Kareem Hunt WR Roger Lewis DST Giants  QB Joshua Dobbs RB Terrell Watson FLEX Aldrick Robinson WR Chris Godwin,,Brandon Brown-Dukes,0.34%,0
132,797217951,theleafnode (11/15),0,45.6,FLEX Alex Erickson TE Mason Schreck RB Kareem Hunt WR Travis Rudolph DST Giants  QB Joshua Dobbs RB Matt Breida WR Trent Taylor WR Chris Godwin,,Karel Hamilton,0.17%,0
132,797558227,chadmclamb,0,45.6,WR Josh Malone RB Kareem Hunt RB C.J. Spiller QB Joshua Dobbs WR JuJu Smith-Schuster DST Steelers  WR Trent Taylor FLEX Jeremy McNichols TE O.J. Howard,,Eli Manning,0.17%,0
134,797344171,jparks31,0,45.5,WR Josh Malone RB Kareem Hunt WR Gehrig Dieter DST Chiefs  TE Evan Engram QB Joshua Dobbs RB Terrell Watson FLEX JuJu Smith-Schuster WR Chris Godwin,,Tevin Jones,0.17%,0
135,797479635,Jgoolsby (11/15),0,45.3,RB Kareem Hunt WR Demarcus Robinson QB Joshua Dobbs FLEX Marcus Tucker TE Jesse James RB Matt Breida WR Aldrick Robinson WR Trent Taylor DST 49ers ,,Tevin Westbrook,0.17%,1.9
136,797489970,Immaculate11 (1/4),0,45.16,QB AJ McCarron RB Joe Mixon WR Travis Rudolph DST Giants  FLEX Terrell Watson WR JuJu Smith-Schuster RB Matt Breida WR Trent Taylor TE O.J. Howard,,Anthony Sherman,0.17%,1.3
136,797559977,tidda,0,45.16,WR Alex Erickson QB Patrick Mahomes II RB Kareem Hunt DST Chiefs  WR JuJu Smith-Schuster FLEX Joe Williams RB Matt Breida WR Trent Taylor TE O.J. Howard,,Victor Bolden Jr.,0.17%,0
138,797463774,Mallen21 (12/15),0,45.09999,RB Joe Mixon WR Alex Erickson DST Chiefs  RB Orleans Darkwa WR Darius Powe QB Joshua Dobbs FLEX Terrell Watson WR JuJu Smith-Schuster TE Cole Hikutini,,Blake Sims,0.17%,0.3
139,797345321,mrcse13 (4/15),0,45.06,QB AJ McCarron RB Tra Carson WR Alex Erickson TE Mason Schreck WR Darius Powe RB Matt Breida DST 49ers  WR Josh Huff FLEX Mike Evans,,Colin Thompson,0.17%,0
140,797348849,Bonuscash (7/10),0,45,RB Joe Mixon WR Josh Malone DST Bengals  RB Kareem Hunt TE Evan Engram QB Joshua Dobbs FLEX JuJu Smith-Schuster WR Trent Taylor WR Chris Godwin,,James Winchester,0.17%,0
140,797463770,Mallen21 (8/15),0,45,RB Joe Mixon WR Alex Erickson FLEX Kareem Hunt DST Chiefs  WR Darius Powe TE Will Tye QB Joshua Dobbs WR Canaan Severin RB Joe Williams,,Chris Brown,0.17%,0.6
142,797555222,zachrab1988 (2/2),0,44.98,QB Jeff Driskel RB Joe Mixon TE Gavin Escobar DST Chiefs  WR Roger Lewis WR Canaan Severin RB Matt Breida FLEX Jeremy McNichols WR Derel Walker,,Darrin Laufasa,0.17%,0
143,797494314,shamrock7747 (2/3),0,44.9,RB Joe Mixon WR Alex Erickson TE Mason Schreck RB Orleans Darkwa QB Joshua Dobbs WR JuJu Smith-Schuster FLEX Aldrick Robinson DST 49ers  WR Chris Godwin,,Davis Webb,0.17%,2.68
144,797302337,clarkgriswold,0,44.86,QB AJ McCarron WR Cody Core TE Tyler Kroft WR Demarcus Robinson FLEX Wayne Gallman DST Giants  RB Terrell Watson RB Matt Breida WR Aldrick Robinson,,,
145,797303186,codyallison1026,0,44.8,TE Tyler Kroft FLEX Kareem Hunt RB Wayne Gallman QB Joshua Dobbs RB Terrell Watson WR JuJu Smith-Schuster WR Trent Taylor WR Mike Evans DST Buccaneers ,,,
145,797506699,mjpoke (1/2),0,44.8,FLEX Josh Malone RB Kareem Hunt DST Giants  QB Joshua Dobbs WR JuJu Smith-Schuster TE Xavier Grimble RB Matt Breida WR Trent Taylor WR Bobo Wilson,,,
147,797538037,maryandray214,0,44.76,QB AJ McCarron RB Joe Mixon WR Josh Malone TE Tyler Kroft DST Bengals  RB Spencer Ware WR Chris Conley FLEX Martavis Bryant WR JuJu Smith-Schuster,,,
148,797217949,theleafnode (9/15),0,44.7,WR Alex Erickson RB Kareem Hunt RB Orleans Darkwa WR Travis Rudolph TE Evan Engram QB Joshua Dobbs FLEX JuJu Smith-Schuster WR Marcus Tucker DST Steelers ,,,
149,797266921,thegibson77 (4/15),0,44.56,QB AJ McCarron RB Joe Mixon WR Josh Malone TE Tyler Kroft RB C.J. Spiller DST Chiefs  WR Roger Lewis FLEX Terrell Watson WR Trent Taylor,,,
150,797217953,theleafnode (13/15),0,44.5,FLEX Alex Erickson TE Tyler Kroft RB Orleans Darkwa WR Travis Rudolph QB Joshua Dobbs RB Matt Breida WR Trent Taylor DST 49ers  WR Chris Godwin,,,
150,797217955,theleafnode (15/15),0,44.5,WR Alex Erickson TE Mason Schreck RB Orleans Darkwa FLEX Travis Rudolph QB Joshua Dobbs RB Matt Breida WR Trent Taylor DST 49ers  WR Chris Godwin,,,
150,797275575,Archibus (3/15),0,44.5,RB Joe Mixon FLEX Josh Malone DST Bengals  TE Gavin Escobar WR Roger Lewis QB Joshua Dobbs RB Terrell Watson WR Darrius Heyward-Bey WR Derel Walker,,,
150,797496829,mrakifa,0,44.5,TE Tyler Kroft FLEX Kareem Hunt RB Wayne Gallman QB Joshua Dobbs RB Terrell Watson WR Marcus Tucker WR Trent Taylor WR Mike Evans DST Buccaneers ,,,
154,797266913,thegibson77 (3/15),0,44.46,QB AJ McCarron RB Joe Mixon WR Cody Core FLEX Wayne Gallman DST Giants  RB Terrell Watson TE Jesse James WR Aldrick Robinson WR Chris Godwin,,,
155,797484228,ChiChiWobbler (15/15),0,44.4,RB Joe Mixon FLEX Kareem Hunt TE Ross Travis DST Chiefs  QB Joshua Dobbs RB Terrell Watson WR JuJu Smith-Schuster WR Trent Taylor WR Freddie Martino,,,
156,797372875,kevsully,0,44.34,RB Kareem Hunt WR Seantavius Jones RB Orleans Darkwa DST Steelers  QB C.J. Beathard FLEX Joe Williams WR Aaron Burbridge WR Chris Godwin TE O.J. Howard,,,
157,797463775,Mallen21 (13/15),0,44.3,RB Joe Mixon WR Alex Erickson TE Ross Travis RB Orleans Darkwa DST Giants  QB Joshua Dobbs WR JuJu Smith-Schuster FLEX Matt Breida WR Freddie Martino,,,
157,797420645,JC_NYJ,0,44.3,TE Tyler Kroft RB Kareem Hunt QB Joshua Dobbs RB Terrell Watson WR JuJu Smith-Schuster FLEX Marcus Tucker WR Trent Taylor WR Mike Evans DST Buccaneers ,,,
157,797484220,ChiChiWobbler (7/15),0,44.3,RB Joe Mixon WR Alex Erickson WR Demarcus Robinson DST Chiefs  FLEX Orleans Darkwa QB Joshua Dobbs RB Terrell Watson WR JuJu Smith-Schuster TE Cole Hikutini,,,
157,797556936,revann,0,44.3,WR Tyler Boyd TE Tyler Kroft RB Kareem Hunt FLEX Roger Lewis QB Joshua Dobbs RB Terrell Watson WR Trent Taylor WR Mike Evans DST Buccaneers ,,,
161,797548479,zachrab1988 (1/2),0,44.26,QB Patrick Mahomes II RB C.J. Spiller WR Marcus Kemp WR Seantavius Jones WR JuJu Smith-Schuster DST Steelers  RB Matt Breida FLEX Peyton Barber TE O.J. Howard,,,
162,797548169,gatortime12 (5/10),0,44.1,RB Joe Mixon RB Orleans Darkwa TE Evan Engram DST Giants  QB Joshua Dobbs WR Canaan Severin WR JuJu Smith-Schuster WR Aldrick Robinson FLEX Chris Godwin,,,
162,797266890,thegibson77 (1/15),0,44.1,RB Joe Mixon TE Tyler Kroft RB Kareem Hunt DST Giants  QB Joshua Dobbs FLEX Terrell Watson WR JuJu Smith-Schuster WR Trent Taylor WR Chris Godwin,,,
162,797451595,jpligon75,0,44.1,RB C.J. Spiller DST Chiefs  FLEX Wayne Gallman QB Joshua Dobbs WR JuJu Smith-Schuster RB Joe Williams WR Aldrick Robinson WR Trent Taylor TE O.J. Howard,,,
165,797242319,Genghis_Khan1 (4/15),0,44,RB Joe Mixon RB Kareem Hunt DST Giants  QB Joshua Dobbs WR JuJu Smith-Schuster TE Xavier Grimble FLEX Aldrick Robinson WR Trent Taylor WR Chris Godwin,,,
165,797242320,Genghis_Khan1 (5/15),0,44,RB Joe Mixon RB Kareem Hunt DST Giants  QB Joshua Dobbs WR JuJu Smith-Schuster FLEX Aldrick Robinson WR Trent Taylor WR Chris Godwin TE O.J. Howard,,,
165,797255793,SoulChild (8/15),0,44,DST Bengals  RB C.J. Spiller WR Marcus Kemp TE Gavin Escobar RB Wayne Gallman QB Joshua Dobbs FLEX Matt Breida WR Aldrick Robinson WR Derel Walker,,,
165,797425096,mommafinnawin,0,44,RB Kareem Hunt TE Gavin Escobar DST Chiefs  FLEX Wayne Gallman WR Roger Lewis QB Joshua Dobbs RB Terrell Watson WR JuJu Smith-Schuster WR Mike Evans,,,
165,797449439,Jegar (7/7),0,44,RB Kareem Hunt WR Seantavius Jones TE Ross Travis QB Joshua Dobbs WR Eli Rogers WR Demarcus Ayers DST Steelers  RB Matt Breida FLEX Trent Taylor,,,
170,797232908,IceIceBrady (14/15),0,43.9,FLEX Alex Erickson TE Mason Schreck RB Kareem Hunt RB Orleans Darkwa WR Travis Rudolph DST Giants  QB Joshua Dobbs WR JuJu Smith-Schuster WR Aldrick Robinson,,,
171,797546526,jc3426,0,43.82,RB Joe Mixon RB Terrell Watson WR Justin Hunter TE Xavier Grimble DST Steelers  QB Matt Barkley WR Marquise Goodwin FLEX Josh Huff WR Freddie Martino,,,
172,797463768,Mallen21 (6/15),0,43.8,RB Joe Mixon WR Alex Erickson FLEX Kareem Hunt TE Ross Travis DST Chiefs  RB Orleans Darkwa QB Joshua Dobbs WR Canaan Severin WR Trent Taylor,,,
173,797465690,SextonHardcastle (6/10),0,43.76,QB AJ McCarron WR Alex Erickson TE Tyler Kroft RB Orleans Darkwa WR Travis Rudolph DST Giants  RB Matt Breida FLEX Aldrick Robinson WR Chris Godwin,,,
173,797465689,SextonHardcastle (5/10),0,43.76,QB AJ McCarron WR Alex Erickson TE Tyler Kroft RB Orleans Darkwa WR Travis Rudolph RB Terrell Watson FLEX Canaan Severin WR Trent Taylor DST 49ers ,,,
175,797263818,LilSuprise1 (1/3),0,43.7,RB Joe Mixon WR Josh Malone RB Kareem Hunt DST Chiefs  TE Evan Engram QB Joshua Dobbs WR JuJu Smith-Schuster FLEX Joe Williams WR Chris Godwin,,,
175,797263871,LilSuprise1 (2/3),0,43.7,RB Joe Mixon WR Josh Malone RB Kareem Hunt DST Chiefs  TE Evan Engram QB Joshua Dobbs WR JuJu Smith-Schuster FLEX Joe Williams WR Chris Godwin,,,
175,797484227,ChiChiWobbler (14/15),0,43.7,RB Joe Mixon FLEX Kareem Hunt TE Ross Travis DST Chiefs  QB Joshua Dobbs RB Terrell Watson WR JuJu Smith-Schuster WR Trent Taylor WR Josh Huff,,,
178,797519586,TwineTickler (2/3),0,43.6,TE Tyler Kroft RB Kareem Hunt RB Wayne Gallman WR Roger Lewis QB Joshua Dobbs WR Marcus Tucker WR Aldrick Robinson DST 49ers  FLEX Mike Evans,,,
179,797304419,Chrisav (5/9),0,43.56,RB C.J. Spiller WR Seantavius Jones QB Geno Smith WR Roger Lewis WR Travis Rudolph TE Evan Engram DST Giants  FLEX Terrell Watson RB Matt Breida,,,
180,797489098,smoeller16,0,43.46,QB Patrick Mahomes II RB C.J. Spiller WR Seantavius Jones TE Ross Travis DST Chiefs  WR Travis Rudolph RB Terrell Watson WR JuJu Smith-Schuster FLEX Matt Breida,,,
181,797463767,Mallen21 (5/15),0,43.4,RB Joe Mixon WR Alex Erickson RB Kareem Hunt TE Ross Travis DST Chiefs  QB Joshua Dobbs WR JuJu Smith-Schuster FLEX Matt Breida WR Chris Godwin,,,
182,797550649,442Snowman,0,43.36,WR A.J. Green TE Tyler Eifert RB Spencer Ware WR Tyreek Hill DST Chiefs  FLEX Odell Beckham Jr. RB Carlos Hyde QB Jameis Winston WR Mike Evans,,,
183,797217945,theleafnode (5/15),0,43.3,FLEX Alex Erickson TE Mason Schreck RB Kareem Hunt WR Demarcus Robinson WR Seantavius Jones RB Orleans Darkwa WR Travis Rudolph QB Joshua Dobbs DST Steelers ,,,
183,797462000,jeffblue103 (1/15),0,43.3,WR Josh Malone RB C.J. Spiller WR Darius Powe FLEX Travis Rudolph QB Joshua Dobbs DST Steelers  RB Doug Martin WR Bobo Wilson TE O.J. Howard,,,
185,797217950,theleafnode (10/15),0,43.2,WR Alex Erickson TE Mason Schreck RB Kareem Hunt FLEX Travis Rudolph DST Giants  QB Joshua Dobbs RB Matt Breida WR Trent Taylor WR Derel Walker,,,
186,797546693,archangel308,0,43.16,QB AJ McCarron RB Joe Mixon WR Alex Erickson TE Mason Schreck WR Travis Rudolph DST Giants  RB Matt Breida FLEX Trent Taylor WR Chris Godwin,,,
186,797519585,TwineTickler (1/3),0,43.16,QB AJ McCarron WR Cody Core TE Tyler Kroft RB Wayne Gallman RB Terrell Watson WR Marcus Tucker DST Steelers  WR Trent Taylor FLEX Chris Godwin,,,
186,797557628,WBNECrew (3/15),0,43.16,QB AJ McCarron RB Stanley Williams FLEX Jeremy Hill WR Brandon LaFell WR A.J. Green TE Cethan Carter RB Spencer Ware DST Chiefs  WR Mike Evans,,,
189,797388801,Michelle0919,0,43.14,WR Tyler Boyd DST Bengals  WR Seantavius Jones RB Orleans Darkwa RB Fitzgerald Toussaint QB C.J. Beathard WR Aldrick Robinson TE Logan Paulsen FLEX Peyton Barber,,,
190,797225899,IceIceBrady (7/15),0,43.1,RB Joe Mixon TE Mason Schreck FLEX Wayne Gallman WR Travis Rudolph DST Giants  QB Joshua Dobbs RB Matt Breida WR Trent Taylor WR Chris Godwin,,,
190,797272501,thegibson77 (10/15),0,43.1,WR Alex Erickson TE Tyler Kroft RB Orleans Darkwa QB Joshua Dobbs FLEX JuJu Smith-Schuster RB Matt Breida WR Trent Taylor DST 49ers  WR Chris Godwin,,,
190,797312476,kratter22 (1/2),0,43.1,WR Cody Core RB Kareem Hunt WR Seantavius Jones DST Chiefs  FLEX Orleans Darkwa TE Evan Engram QB Joshua Dobbs RB Terrell Watson WR Trent Taylor,,,
190,797312477,kratter22 (2/2),0,43.1,WR Cody Core RB Kareem Hunt WR Seantavius Jones DST Chiefs  FLEX Orleans Darkwa TE Evan Engram QB Joshua Dobbs RB Terrell Watson WR Trent Taylor,,,
194,797501714,benjohnson314,0,43,WR Tyler Boyd RB Kareem Hunt TE Gavin Escobar DST Chiefs  FLEX Wayne Gallman QB Joshua Dobbs RB Terrell Watson WR Marcus Tucker WR Mike Evans,,,
195,797229845,Zeechamp (14/15),0,42.96,QB AJ McCarron WR Alex Erickson TE Tyler Kroft RB Kareem Hunt DST Chiefs  WR Travis Rudolph RB Terrell Watson FLEX Matt Breida WR Chris Godwin,,,
195,797275251,Johnnyp135 (2/5),0,42.96,QB AJ McCarron WR Alex Erickson WR Cody Core TE Tyler Kroft RB Kareem Hunt WR Roger Lewis DST Giants  RB Matt Breida FLEX Aldrick Robinson,,,
197,797272496,thegibson77 (9/15),0,42.94,FLEX Joe Mixon WR Alex Erickson QB Josh Johnson RB Orleans Darkwa WR Travis Rudolph TE Evan Engram RB Terrell Watson DST 49ers  WR Chris Godwin,,,
197,797465688,SextonHardcastle (4/10),0,42.94,WR Alex Erickson TE Mason Schreck QB Josh Johnson RB Orleans Darkwa WR Travis Rudolph RB Matt Breida WR Aldrick Robinson DST 49ers  FLEX Chris Godwin,,,
197,797301982,dookdog,0,42.93999,RB Kareem Hunt TE Gavin Escobar FLEX Wayne Gallman RB Terrell Watson WR JuJu Smith-Schuster QB C.J. Beathard WR Trent Taylor WR DeSean Jackson DST Buccaneers ,,,
200,797345406,savmario (1/3),0,42.9,RB Joe Mixon WR Alex Erickson DST Chiefs  TE Evan Engram QB Joshua Dobbs RB Terrell Watson WR Justin Hunter WR JuJu Smith-Schuster FLEX Kapri Bibbs,,,
201,797255798,SoulChild (13/15),0,42.8,RB Joe Mixon RB Tra Carson DST Bengals  WR Roger Lewis QB Joshua Dobbs WR Canaan Severin WR JuJu Smith-Schuster FLEX Trent Taylor TE O.J. Howard,,,
202,797504795,corylynn22 (2/2),0,42.7,RB Joe Mixon FLEX Kareem Hunt DST Chiefs  WR Roger Lewis WR Travis Rudolph TE Evan Engram QB Joshua Dobbs RB Terrell Watson WR JuJu Smith-Schuster,,,
203,797463763,Mallen21 (1/15),0,42.66,QB AJ McCarron RB Joe Mixon WR Alex Erickson RB Kareem Hunt TE Ross Travis DST Giants  FLEX Matt Breida WR Trent Taylor WR Chris Godwin,,,
203,797494182,shamrock7747 (1/3),0,42.66,QB AJ McCarron RB Joe Mixon WR Alex Erickson TE Tyler Kroft FLEX Kareem Hunt WR Travis Rudolph DST Giants  RB Matt Breida WR Trent Taylor,,,
205,797454306,CongoSong (6/15),0,42.59999,RB Joe Mixon WR Josh Malone FLEX Kareem Hunt TE Ross Travis DST Chiefs  RB Orleans Darkwa QB Joshua Dobbs WR JuJu Smith-Schuster WR Trent Taylor,,,
206,797487179,mattyparlock,0,42.58,QB Jeff Driskel RB Joe Mixon WR Alex Erickson FLEX Kareem Hunt DST Chiefs  WR Eli Rogers RB Tim Hightower WR Josh Huff TE O.J. Howard,,,
207,797262741,lilwilly,0,42.56,QB AJ McCarron TE Tyler Kroft RB Kareem Hunt DST Chiefs  WR Roger Lewis RB Terrell Watson FLEX JuJu Smith-Schuster WR Aldrick Robinson WR Trent Taylor,,,
208,797484556,46Dustin,0,42.54,RB Kareem Hunt RB Wayne Gallman QB C.J. Beathard FLEX Trent Taylor WR Josh Huff WR Mike Evans WR Chris Godwin TE O.J. Howard DST Buccaneers ,,,
209,797557630,WBNECrew (5/15),0,42.46,QB AJ McCarron RB Stanley Williams FLEX Joe Mixon WR A.J. Green WR Alex Erickson TE Cethan Carter DST Giants  RB Carlos Hyde WR Mike Evans,,,
210,797348850,Bonuscash (8/10),0,42.4,RB Joe Mixon WR Alex Erickson DST Bengals  RB Kareem Hunt WR Seantavius Jones FLEX Travis Rudolph TE Evan Engram QB Joshua Dobbs WR JuJu Smith-Schuster,,,
210,797471132,Grnder_786 (2/2),0,42.4,FLEX Tra Carson RB Wayne Gallman WR Travis Rudolph TE Evan Engram QB Joshua Dobbs WR JuJu Smith-Schuster RB Matt Breida WR Trent Taylor DST Buccaneers ,,,
210,797477597,karladfs (13/15),0,42.4,RB Joe Mixon RB Kareem Hunt WR Travis Rudolph DST Giants  QB Joshua Dobbs WR JuJu Smith-Schuster TE Xavier Grimble FLEX Matt Breida WR Trent Taylor,,,
210,797477598,karladfs (14/15),0,42.4,RB Joe Mixon RB Kareem Hunt WR Travis Rudolph DST Giants  QB Joshua Dobbs WR JuJu Smith-Schuster FLEX Matt Breida WR Trent Taylor TE O.J. Howard,,,
214,797479628,Jgoolsby (4/15),0,42.34,TE Tyler Kroft RB Kareem Hunt WR Demarcus Robinson DST Chiefs  WR Canaan Severin FLEX Marcus Tucker QB C.J. Beathard WR Aldrick Robinson RB Doug Martin,,,
215,797520292,daveandmarsha,0,42.3,RB Joe Mixon WR Alex Erickson FLEX C.J. Spiller TE Gavin Escobar DST Chiefs  QB Joshua Dobbs WR JuJu Smith-Schuster RB Matt Breida WR Chris Godwin,,,
215,797217954,theleafnode (14/15),0,42.3,RB Joe Mixon WR Cody Core TE Mason Schreck WR Travis Rudolph QB Joshua Dobbs RB Matt Breida FLEX Trent Taylor DST 49ers  WR Chris Godwin,,,
217,797255790,SoulChild (5/15),0,42.26,QB AJ McCarron RB Joe Mixon RB Kareem Hunt WR Darius Powe WR Travis Rudolph WR JuJu Smith-Schuster DST Steelers  FLEX Mike Evans TE O.J. Howard,,,
217,797484225,ChiChiWobbler (12/15),0,42.26,RB Joe Mixon FLEX Kareem Hunt TE Ross Travis DST Chiefs  QB Geno Smith WR Travis Rudolph RB Terrell Watson WR Trent Taylor WR Chris Godwin,,,
219,797477599,karladfs (15/15),0,42.2,RB Joe Mixon RB Kareem Hunt TE Evan Engram QB Joshua Dobbs WR JuJu Smith-Schuster FLEX Matt Breida WR Trent Taylor DST 49ers  WR Chris Godwin,,,
219,797275600,Archibus (7/15),0,42.2,RB Joe Mixon WR Darius Powe TE Evan Engram QB Joshua Dobbs WR JuJu Smith-Schuster DST Steelers  FLEX Trent Taylor RB Jeremy McNichols WR Derel Walker,,,
219,797469939,jeffblue103 (15/15),0,42.2,RB Joe Mixon RB Kareem Hunt FLEX Gavin Escobar WR Travis Rudolph TE Evan Engram QB Joshua Dobbs WR Canaan Severin WR JuJu Smith-Schuster DST Steelers ,,,
222,797232892,IceIceBrady (11/15),0,42.16,QB AJ McCarron FLEX Alex Erickson TE Mason Schreck RB Kareem Hunt RB Orleans Darkwa WR Travis Rudolph DST Giants  WR Aldrick Robinson WR Trent Taylor,,,
223,797217943,theleafnode (3/15),0,42.14,WR Cody Core RB Kareem Hunt QB Josh Johnson TE Evan Engram FLEX JuJu Smith-Schuster DST Steelers  RB Matt Breida WR Trent Taylor WR Chris Godwin,,,
224,797345325,mrcse13 (8/15),0,42,WR Cody Core RB Kareem Hunt FLEX Roger Lewis TE Will Tye DST Giants  QB Joshua Dobbs WR Trent Taylor RB Doug Martin WR Mike Evans,,,
224,797477590,karladfs (6/15),0,42,RB Joe Mixon RB Kareem Hunt WR Seantavius Jones DST Giants  QB Joshua Dobbs WR JuJu Smith-Schuster TE Xavier Grimble FLEX Matt Breida WR Trent Taylor,,,
224,797502958,canowhoopass (3/6),0,42,FLEX Joe Mixon RB Kareem Hunt WR Roger Lewis TE Evan Engram QB Joshua Dobbs RB Terrell Watson WR Marcus Tucker WR Trent Taylor DST Buccaneers ,,,
224,797463773,Mallen21 (11/15),0,42,RB Joe Mixon WR Alex Erickson TE Ross Travis DST Chiefs  RB Orleans Darkwa WR Darius Powe QB Joshua Dobbs WR JuJu Smith-Schuster FLEX Joe Williams,,,
228,797217942,theleafnode (2/15),0,41.96,QB AJ McCarron WR Cody Core RB Kareem Hunt TE Evan Engram WR JuJu Smith-Schuster DST Steelers  RB Matt Breida WR Trent Taylor FLEX Chris Godwin,,,
